GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
software-craft-starter,com.example.craft.domain,Order,0,42,0,0,0,14,0,7,0,7
software-craft-starter,com.example.craft.domain,OrderItem,3,18,0,0,1,7,1,3,1,3
software-craft-starter,com.example.craft.domain,CustomerType,0,27,0,0,0,5,0,1,0,1
software-craft-starter,com.example.craft.domain,Customer,0,27,0,0,0,10,0,5,0,5
software-craft-starter,com.example.craft,Main,44,0,0,0,8,0,2,0,2,0
software-craft-starter,com.example.craft,OrderProcessor,60,322,17,31,14,73,17,16,0,9
software-craft-starter,com.example.craft,OrderProcessor.BasketValues,0,9,0,0,0,1,0,1,0,1
software-craft-starter,com.example.craft.delivery,NextDayDeliveryStrategy,21,0,2,0,8,0,3,0,2,0
software-craft-starter,com.example.craft.delivery,StandardDeliveryStrategy,0,12,0,2,0,5,0,3,0,2
software-craft-starter,com.example.craft.delivery,DeliveryStrategyFactory,7,26,1,5,2,6,2,3,1,1
software-craft-starter,com.example.craft.delivery,CollectionDeliveryStrategy,3,11,1,1,1,4,1,2,0,2
software-craft-starter,com.example.craft.payment,PaypalPaymentStrategy,0,30,1,1,0,6,1,3,0,3
software-craft-starter,com.example.craft.payment,PaymentStrategyFactory,17,16,3,3,4,4,3,2,1,1
software-craft-starter,com.example.craft.payment,CardPaymentStrategy,3,26,1,1,1,5,1,3,0,3
software-craft-starter,com.example.craft.payment,BankTransferPaymentStrategy,29,0,2,0,6,0,4,0,3,0
